bookingid_(pnr),reservation_date,cancellation_date,flight_date,origin,destination,routing,flightnumber,revenue_per_booking_(ticket),revenue_per_booking_(ancilliary_pre_check_in),revenue_per_booking_(ancilliary_at_check_in),passengercount,bookingid_norm,total_revenue,routing_canonical,is_cancelled,flight_dow,days_after_booking_to_cancel,days_before_flight_to_cancel,lead_time_days,ancillary_total
701123,2025-02-14,,2025-03-30,FCO,FRA,FCO-FRA,DE1003,68.0,16.61,0.0,1,701123,84.61,FCO-FRA,False,Sunday,,,44,16.61
701124,2025-03-18,,2025-04-21,FCO,FRA,FCO-FRA,DE1003,170.0,19.85,6.68,2,701124,196.53,FCO-FRA,False,Monday,,,34,26.53
701125,2025-02-14,,2025-04-10,FRA,FCO,FRA → FCO,DE1000,68.0,0.0,0.0,1,701125,68.0,FRA-FCO,False,Thursday,,,55,0.0
701126,2025-02-22,,2025-04-17,FRA,FCO,FRA-FCO,DE1000,85.0,11.12,3.04,1,701126,99.16000000000001,FRA-FCO,False,Thursday,,,54,14.16
701127,2025-02-22,,2025-04-09,FCO,PMO,FCO → PMO,DE1001,153.0,0.0,0.0,2,701127,153.0,FCO-PMO,False,Wednesday,,,46,0.0
701128,2025-01-12,,2025-03-12,FCO,FRA,FCO-FRA,DE1003,136.0,7.25,5.59,2,701128,148.84,FCO-FRA,False,Wednesday,,,59,12.84
701129,2025-02-20,,2025-04-06,FCO,PMO,FCO-PMO,DE1001,76.5,15.85,0.0,1,701129,92.35,FCO-PMO,False,Sunday,,,45,15.85
701130,2025-02-24,,2025-04-18,FRA,FCO,FRA-FCO,DE1000,85.0,16.78,8.04,1,701130,109.82,FRA-FCO,False,Friday,,,53,24.82
701131,2025-02-11,,2025-03-27,FCO,FRA,FCO-FRA,DE1003,68.0,12.16,0.0,1,701131,80.16,FCO-FRA,False,Thursday,,,44,12.16
701132,2025-03-02,,2025-03-08,PMO,FCO,PMO → FCO,DE1002,216.0,0.0,9.25,2,701132,225.25,PMO-FCO,False,Saturday,,,6,9.25
701133,2025-03-15,,2025-04-17,FCO,PMO,FCO-PMO,DE1001,95.62,5.63,8.75,1,701133,110.0,FCO-PMO,False,Thursday,,,33,14.379999999999999
701134,2025-03-12,,2025-04-10,PMO,FCO,PMO → FCO,DE1002,76.5,10.36,0.0,1,701134,86.86,PMO-FCO,False,Thursday,,,29,10.36
701135,2025-03-25,,2025-04-30,FCO,PMO,FCO → PMO,DE1001,153.0,18.6,9.43,2,701135,181.03,FCO-PMO,False,Wednesday,,,36,28.03
701136,2025-04-02,,2025-04-19,FCO,PMO,FCO-PMO,DE1001,95.62,13.64,7.58,1,701136,116.84,FCO-PMO,False,Saturday,,,17,21.22
701137,2025-01-15,,2025-03-14,FCO,FRA,FCO → FRA,DE1003,68.0,11.37,0.0,1,701137,79.37,FCO-FRA,False,Friday,,,58,11.37
701138,2025-03-09,,2025-03-17,PMO,FCO,PMO → FCO,DE1002,270.0,6.72,0.0,3,701138,276.72,PMO-FCO,False,Monday,,,8,6.72
701139,2025-01-19,,2025-03-03,FCO,PMO,FCO → PMO,DE1001,153.0,10.19,5.36,2,701139,168.55,FCO-PMO,False,Monday,,,43,15.55
701140,2025-04-05,2025-04-09,2025-04-09,FCO,FRA,FCO-FRA,DE1003,96.0,0.0,0.0,1,701140,96.0,FCO-FRA,True,Wednesday,4.0,0.0,4,0.0
701141,2025-03-18,,2025-03-28,PMO,FCO,PMO-FCO,DE1002,90.0,13.41,7.69,1,701141,111.1,PMO-FCO,False,Friday,,,10,21.1
701142,2025-02-08,,2025-03-16,FRA,FCO,FRA-FCO,DE1000,68.0,19.14,8.7,1,701142,95.84,FRA-FCO,False,Sunday,,,36,27.84
701143,2025-01-17,2025-01-18,2025-03-01,FRA,FCO,FRA-FCO,DE1000,68.0,0.0,0.0,1,701143,68.0,FRA-FCO,True,Saturday,1.0,42.0,43,0.0
701144,2025-03-04,,2025-03-17,FCO,FRA,FCO-FRA,DE1003,80.0,6.45,9.86,1,701144,96.31,FCO-FRA,False,Monday,,,13,16.31
701145,2025-02-22,,2025-03-13,FCO,FRA,FCO-FRA,DE1003,136.0,0.0,9.38,2,701145,145.38,FCO-FRA,False,Thursday,,,19,9.38
701146,2025-04-19,2025-04-20,2025-04-25,FRA,FCO,FRA-FCO,DE1000,240.0,0.0,3.95,2,701146,243.95,FRA-FCO,True,Friday,1.0,5.0,6,3.95
701147,2025-03-01,,2025-03-13,FCO,FRA,FCO-FRA,DE1003,80.0,12.77,8.2,1,701147,100.97,FCO-FRA,False,Thursday,,,12,20.97
701148,2025-02-23,,2025-03-07,FCO,FRA,FCO-FRA,DE1003,160.0,18.85,0.0,2,701148,178.85,FCO-FRA,False,Friday,,,12,18.85
701149,2025-02-03,,2025-03-23,FCO,PMO,FCO-PMO,DE1001,76.5,15.16,9.16,1,701149,100.82,FCO-PMO,False,Sunday,,,48,24.32
701150,2025-02-17,2025-02-19,2025-04-14,PMO,FCO,PMO-FCO,DE1002,95.62,0.0,0.0,1,701150,95.62,PMO-FCO,True,Monday,2.0,54.0,56,0.0
701151,2025-03-12,,2025-03-27,FCO,PMO,FCO-PMO,DE1001,76.5,19.33,2.31,1,701151,98.14,FCO-PMO,False,Thursday,,,15,21.639999999999997
701152,2025-02-18,,2025-04-17,PMO,FCO,PMO-FCO,DE1002,191.25,0.0,4.01,2,701152,195.26,PMO-FCO,False,Thursday,,,58,4.01
701153,2025-02-15,,2025-03-20,FRA,FCO,FRA-FCO,DE1000,68.0,11.1,3.82,1,701153,82.91999999999999,FRA-FCO,False,Thursday,,,33,14.92
701154,2025-02-20,,2025-04-03,FCO,FRA,FCO-FRA,DE1003,68.0,10.93,5.48,1,701154,84.41000000000001,FCO-FRA,False,Thursday,,,42,16.41
701155,2025-01-28,,2025-03-20,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,4.21,1,701155,80.71,PMO-FCO,False,Thursday,,,51,4.21
701156,2025-03-28,,2025-04-05,FCO,FRA,FCO-FRA,DE1003,160.0,13.84,6.26,2,701156,180.1,FCO-FRA,False,Saturday,,,8,20.1
701157,2025-02-25,,2025-04-21,FRA,FCO,FRA-FCO,DE1000,170.0,0.0,3.97,2,701157,173.97,FRA-FCO,False,Monday,,,55,3.97
701158,2025-04-01,,2025-04-18,FCO,FRA,FCO-FRA,DE1003,85.0,7.44,9.59,1,701158,102.03,FCO-FRA,False,Friday,,,17,17.03
701159,2025-03-01,,2025-03-09,FRA,FCO,FRA-FCO,DE1000,80.0,17.08,9.89,1,701159,106.97,FRA-FCO,False,Sunday,,,8,26.97
701160,2025-03-01,,2025-04-11,FCO,PMO,FCO-PMO,DE1001,153.0,6.89,6.21,2,701160,166.1,FCO-PMO,False,Friday,,,41,13.1
701161,2025-01-28,,2025-03-20,PMO,FCO,PMO-FCO,DE1002,76.5,5.58,0.0,1,701161,82.08,PMO-FCO,False,Thursday,,,51,5.58
701162,2025-02-01,,2025-03-20,FCO,FRA,FCO → FRA,DE1003,136.0,16.4,2.92,2,701162,155.32,FCO-FRA,False,Thursday,,,47,19.32
701163,2025-02-23,2025-02-24,2025-03-07,FCO,PMO,FCO-PMO,DE1001,180.0,13.34,9.86,2,701163,203.2,FCO-PMO,True,Friday,1.0,11.0,12,23.2
701164,2025-03-09,,2025-04-02,FRA,FCO,FRA → FCO,DE1000,136.0,9.19,0.0,2,701164,145.19,FRA-FCO,False,Wednesday,,,24,9.19
701165,2025-03-21,,2025-04-12,FCO,FRA,FCO-FRA,DE1003,68.0,13.96,0.0,1,701165,81.96000000000001,FCO-FRA,False,Saturday,,,22,13.96
701166,2025-04-25,,2025-04-30,FRA,FCO,FRA-FCO,DE1000,192.0,0.0,3.08,2,701166,195.08,FRA-FCO,False,Wednesday,,,5,3.08
701167,2025-02-03,,2025-03-22,FRA,FCO,FRA → FCO,DE1000,136.0,9.08,0.0,2,701167,145.08,FRA-FCO,False,Saturday,,,47,9.08
701168,2025-02-06,,2025-03-14,FRA,FCO,FRA-FCO,DE1000,68.0,5.62,5.49,1,701168,79.11,FRA-FCO,False,Friday,,,36,11.11
701169,2025-03-19,,2025-03-28,FCO,PMO,FCO-PMO,DE1001,270.0,0.0,6.82,3,701169,276.82,FCO-PMO,False,Friday,,,9,6.82
701170,2025-02-04,,2025-03-06,FCO,FRA,FCO → FRA,DE1003,136.0,17.46,6.01,2,701170,159.47,FCO-FRA,False,Thursday,,,30,23.47
701171,2025-02-27,2025-03-02,2025-03-30,FCO,FRA,FCO → FRA,DE1003,68.0,8.88,0.0,1,701171,76.88,FCO-FRA,True,Sunday,3.0,28.0,31,8.88
701172,2025-02-18,,2025-04-09,FCO,FRA,FCO → FRA,DE1003,136.0,10.0,0.0,2,701172,146.0,FCO-FRA,False,Wednesday,,,50,10.0
701173,2025-01-07,,2025-03-06,FCO,PMO,FCO-PMO,DE1001,76.5,13.08,7.42,1,701173,97.0,FCO-PMO,False,Thursday,,,58,20.5
701174,2025-01-30,,2025-03-12,FCO,FRA,FCO-FRA,DE1003,204.0,5.84,0.0,3,701174,209.84,FCO-FRA,False,Wednesday,,,41,5.84
701175,2025-02-09,,2025-04-02,FCO,PMO,FCO-PMO,DE1001,153.0,18.37,3.4,2,701175,174.77,FCO-PMO,False,Wednesday,,,52,21.77
701176,2025-03-18,,2025-04-09,FCO,PMO,FCO-PMO,DE1001,153.0,16.77,6.35,2,701176,176.12,FCO-PMO,False,Wednesday,,,22,23.119999999999997
701177,2025-03-16,,2025-04-20,FCO,PMO,FCO-PMO,DE1001,191.25,14.79,2.96,2,701177,209.0,FCO-PMO,False,Sunday,,,35,17.75
701178,2025-01-28,,2025-03-15,FRA,FCO,FRA-FCO,DE1000,204.0,0.0,5.61,3,701178,209.61,FRA-FCO,False,Saturday,,,46,5.61
701179,2025-03-31,,2025-04-03,FRA,FCO,FRA → FCO,DE1000,120.0,6.83,4.64,1,701179,131.47,FRA-FCO,False,Thursday,,,3,11.469999999999999
701180,2025-02-25,,2025-04-19,PMO,FCO,PMO-FCO,DE1002,191.25,11.28,7.51,2,701180,210.04,PMO-FCO,False,Saturday,,,53,18.79
701181,2025-03-11,,2025-04-10,PMO,FCO,PMO-FCO,DE1002,153.0,0.0,5.26,2,701181,158.26,PMO-FCO,False,Thursday,,,30,5.26
701182,2025-02-13,,2025-03-08,FCO,FRA,FCO → FRA,DE1003,68.0,8.9,0.0,1,701182,76.9,FCO-FRA,False,Saturday,,,23,8.9
701183,2025-01-30,,2025-03-01,FCO,FRA,FCO-FRA,DE1003,136.0,10.34,7.69,2,701183,154.03,FCO-FRA,False,Saturday,,,30,18.03
701184,2025-01-14,,2025-03-02,FCO,FRA,FCO-FRA,DE1003,68.0,0.0,9.31,1,701184,77.31,FCO-FRA,False,Sunday,,,47,9.31
701185,2025-03-21,,2025-03-22,FCO,PMO,FCO-PMO,DE1001,135.0,17.87,4.37,1,701185,157.24,FCO-PMO,False,Saturday,,,1,22.240000000000002
701186,2025-03-04,,2025-04-10,FRA,FCO,FRA → FCO,DE1000,204.0,6.93,6.06,3,701186,216.99,FRA-FCO,False,Thursday,,,37,12.989999999999998
701187,2025-04-04,,2025-04-05,FRA,FCO,FRA-FCO,DE1000,120.0,17.9,9.18,1,701187,147.08,FRA-FCO,False,Saturday,,,1,27.08
701188,2025-02-24,,2025-03-19,FRA,FCO,FRA-FCO,DE1000,68.0,10.5,8.82,1,701188,87.32,FRA-FCO,False,Wednesday,,,23,19.32
701189,2025-02-26,,2025-03-08,FCO,PMO,FCO-PMO,DE1001,180.0,0.0,0.0,2,701189,180.0,FCO-PMO,False,Saturday,,,10,0.0
701190,2025-02-03,,2025-03-31,PMO,FCO,PMO → FCO,DE1002,229.5,8.04,3.75,3,701190,241.29,PMO-FCO,False,Monday,,,56,11.79
701191,2025-02-27,,2025-03-31,FCO,PMO,FCO → PMO,DE1001,153.0,14.01,2.53,2,701191,169.54,FCO-PMO,False,Monday,,,32,16.54
701192,2025-03-22,,2025-03-27,PMO,FCO,PMO-FCO,DE1002,324.0,14.85,5.39,3,701192,344.24,PMO-FCO,False,Thursday,,,5,20.24
701193,2025-04-10,,2025-04-12,FCO,PMO,FCO-PMO,DE1001,135.0,13.57,3.64,1,701193,152.20999999999998,FCO-PMO,False,Saturday,,,2,17.21
701194,2025-01-29,,2025-03-02,FCO,FRA,FCO → FRA,DE1003,204.0,16.43,9.93,3,701194,230.36,FCO-FRA,False,Sunday,,,32,26.36
701195,2025-02-07,,2025-03-30,FCO,PMO,FCO-PMO,DE1001,153.0,5.82,0.0,2,701195,158.82,FCO-PMO,False,Sunday,,,51,5.82
701196,2025-03-13,,2025-04-25,FRA,FCO,FRA-FCO,DE1000,255.0,0.0,5.0,3,701196,260.0,FRA-FCO,False,Friday,,,43,5.0
701197,2025-02-21,,2025-04-20,PMO,FCO,PMO-FCO,DE1002,191.25,10.74,6.77,2,701197,208.76000000000002,PMO-FCO,False,Sunday,,,58,17.509999999999998
701198,2025-03-20,,2025-04-24,PMO,FCO,PMO → FCO,DE1002,95.62,11.5,8.57,1,701198,115.69,PMO-FCO,False,Thursday,,,35,20.07
701199,2025-02-22,,2025-04-05,FCO,PMO,FCO → PMO,DE1001,76.5,0.0,8.93,1,701199,85.43,FCO-PMO,False,Saturday,,,42,8.93
701200,2025-02-08,,2025-03-14,FCO,FRA,FCO-FRA,DE1003,68.0,18.73,2.59,1,701200,89.32000000000001,FCO-FRA,False,Friday,,,34,21.32
701201,2025-03-08,,2025-04-13,FCO,FRA,FCO-FRA,DE1003,255.0,7.48,7.27,3,701201,269.75,FCO-FRA,False,Sunday,,,36,14.75
701202,2025-02-26,,2025-04-09,FCO,FRA,FCO → FRA,DE1003,68.0,16.33,0.0,1,701202,84.33,FCO-FRA,False,Wednesday,,,42,16.33
701203,2025-02-18,,2025-03-20,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,9.74,1,701203,86.24,PMO-FCO,False,Thursday,,,30,9.74
701204,2025-03-08,,2025-03-14,PMO,FCO,PMO → FCO,DE1002,216.0,16.8,5.17,2,701204,237.97,PMO-FCO,False,Friday,,,6,21.97
701205,2025-01-29,,2025-03-13,FCO,PMO,FCO → PMO,DE1001,153.0,13.7,5.81,2,701205,172.51,FCO-PMO,False,Thursday,,,43,19.509999999999998
701206,2025-03-02,2025-03-03,2025-03-12,FCO,FRA,FCO-FRA,DE1003,80.0,17.5,7.39,1,701206,104.89,FCO-FRA,True,Wednesday,1.0,9.0,10,24.89
701207,2025-01-14,,2025-03-13,PMO,FCO,PMO-FCO,DE1002,76.5,14.04,5.07,1,701207,95.60999999999999,PMO-FCO,False,Thursday,,,58,19.11
701208,2025-03-06,,2025-04-18,FCO,PMO,FCO-PMO,DE1001,95.62,15.16,9.91,1,701208,120.69,FCO-PMO,False,Friday,,,43,25.07
701209,2025-04-26,2025-04-30,2025-04-28,FCO,FRA,FCO-FRA,DE1003,240.0,8.89,9.33,2,701209,258.21999999999997,FCO-FRA,True,Monday,4.0,-2.0,2,18.22
701210,2025-04-07,,2025-04-28,FRA,FCO,FRA → FCO,DE1000,136.0,0.0,5.0,2,701210,141.0,FRA-FCO,False,Monday,,,21,5.0
701211,2025-03-08,,2025-03-09,FCO,PMO,FCO → PMO,DE1001,135.0,0.0,0.0,1,701211,135.0,FCO-PMO,False,Sunday,,,1,0.0
701212,2025-02-11,,2025-03-20,FCO,FRA,FCO-FRA,DE1003,68.0,17.42,8.15,1,701212,93.57000000000001,FCO-FRA,False,Thursday,,,37,25.57
701213,2025-03-14,,2025-04-03,PMO,FCO,PMO-FCO,DE1002,76.5,18.57,2.05,1,701213,97.11999999999999,PMO-FCO,False,Thursday,,,20,20.62
701214,2025-03-22,,2025-04-14,FCO,FRA,FCO-FRA,DE1003,85.0,18.06,9.7,1,701214,112.76,FCO-FRA,False,Monday,,,23,27.759999999999998
701215,2025-03-24,,2025-04-09,PMO,FCO,PMO-FCO,DE1002,153.0,0.0,0.0,2,701215,153.0,PMO-FCO,False,Wednesday,,,16,0.0
701216,2025-02-03,,2025-03-08,FRA,FCO,FRA-FCO,DE1000,68.0,0.0,0.0,1,701216,68.0,FRA-FCO,False,Saturday,,,33,0.0
701217,2025-03-17,,2025-04-18,FRA,FCO,FRA-FCO,DE1000,85.0,17.08,7.92,1,701217,110.0,FRA-FCO,False,Friday,,,32,25.0
701218,2025-04-10,,2025-04-12,FRA,FCO,FRA-FCO,DE1000,120.0,0.0,0.0,1,701218,120.0,FRA-FCO,False,Saturday,,,2,0.0
701219,2025-03-13,,2025-03-16,FCO,FRA,FCO-FRA,DE1003,360.0,14.54,4.27,3,701219,378.81,FCO-FRA,False,Sunday,,,3,18.81
701220,2025-02-16,,2025-03-13,FCO,PMO,FCO-PMO,DE1001,76.5,5.11,7.69,1,701220,89.3,FCO-PMO,False,Thursday,,,25,12.8
701221,2025-01-29,,2025-03-19,FCO,FRA,FCO-FRA,DE1003,136.0,19.38,8.97,2,701221,164.35,FCO-FRA,False,Wednesday,,,49,28.35
701222,2025-02-13,,2025-04-02,FCO,FRA,FCO-FRA,DE1003,68.0,7.76,0.0,1,701222,75.76,FCO-FRA,False,Wednesday,,,48,7.76
701223,2025-01-27,,2025-03-26,FRA,FCO,FRA-FCO,DE1000,68.0,8.87,2.51,1,701223,79.38000000000001,FRA-FCO,False,Wednesday,,,58,11.379999999999999
701224,2025-04-10,,2025-04-19,FCO,FRA,FCO-FRA,DE1003,100.0,0.0,0.0,1,701224,100.0,FCO-FRA,False,Saturday,,,9,0.0
701225,2025-01-31,,2025-03-23,FCO,FRA,FCO → FRA,DE1003,68.0,15.17,2.12,1,701225,85.29,FCO-FRA,False,Sunday,,,51,17.29
701226,2025-03-17,,2025-04-14,FCO,FRA,FCO-FRA,DE1003,170.0,0.0,5.01,2,701226,175.01,FCO-FRA,False,Monday,,,28,5.01
701227,2025-03-28,,2025-04-05,PMO,FCO,PMO → FCO,DE1002,270.0,0.0,3.82,3,701227,273.82,PMO-FCO,False,Saturday,,,8,3.82
701228,2025-02-10,,2025-03-22,FCO,FRA,FCO → FRA,DE1003,136.0,7.71,0.0,2,701228,143.71,FCO-FRA,False,Saturday,,,40,7.71
701229,2025-01-20,,2025-03-12,PMO,FCO,PMO → FCO,DE1002,76.5,19.58,4.47,1,701229,100.55,PMO-FCO,False,Wednesday,,,51,24.049999999999997
701230,2025-02-06,,2025-03-15,FCO,PMO,FCO → PMO,DE1001,153.0,17.17,0.0,2,701230,170.17000000000002,FCO-PMO,False,Saturday,,,37,17.17
701231,2025-04-09,,2025-04-19,FCO,PMO,FCO → PMO,DE1001,112.5,7.75,0.0,1,701231,120.25,FCO-PMO,False,Saturday,,,10,7.75
701232,2025-01-30,,2025-03-01,FCO,PMO,FCO-PMO,DE1001,76.5,9.46,3.77,1,701232,89.73,FCO-PMO,False,Saturday,,,30,13.23
701233,2025-02-08,,2025-03-26,FCO,FRA,FCO-FRA,DE1003,136.0,13.6,6.2,2,701233,155.79999999999998,FCO-FRA,False,Wednesday,,,46,19.8
701234,2025-02-08,2025-02-12,2025-03-09,FCO,PMO,FCO → PMO,DE1001,76.5,0.0,2.66,1,701234,79.16,FCO-PMO,True,Sunday,4.0,25.0,29,2.66
701235,2025-02-18,,2025-04-10,PMO,FCO,PMO-FCO,DE1002,76.5,10.14,0.0,1,701235,86.64,PMO-FCO,False,Thursday,,,51,10.14
701236,2025-02-14,,2025-04-02,FCO,PMO,FCO → PMO,DE1001,153.0,16.07,2.08,2,701236,171.15,FCO-PMO,False,Wednesday,,,47,18.15
701237,2025-02-07,,2025-03-30,FCO,PMO,FCO-PMO,DE1001,229.5,0.0,8.49,3,701237,237.99,FCO-PMO,False,Sunday,,,51,8.49
701238,2025-02-07,,2025-03-30,FCO,PMO,FCO-PMO,DE1001,76.5,6.75,8.62,1,701238,91.87,FCO-PMO,False,Sunday,,,51,15.37
701239,2025-03-12,,2025-03-27,FCO,FRA,FCO-FRA,DE1003,136.0,8.52,0.0,2,701239,144.52,FCO-FRA,False,Thursday,,,15,8.52
701240,2025-04-06,,2025-04-30,PMO,FCO,PMO → FCO,DE1002,153.0,5.69,0.0,2,701240,158.69,PMO-FCO,False,Wednesday,,,24,5.69
701241,2025-03-02,,2025-03-23,FRA,FCO,FRA-FCO,DE1000,136.0,11.29,6.22,2,701241,153.51,FRA-FCO,False,Sunday,,,21,17.509999999999998
701242,2025-03-07,,2025-03-19,FRA,FCO,FRA → FCO,DE1000,160.0,12.44,7.05,2,701242,179.49,FRA-FCO,False,Wednesday,,,12,19.49
701243,2025-02-14,,2025-03-03,FCO,FRA,FCO-FRA,DE1003,68.0,17.31,3.77,1,701243,89.08,FCO-FRA,False,Monday,,,17,21.08
701244,2025-01-25,,2025-03-02,FRA,FCO,FRA-FCO,DE1000,204.0,15.31,3.33,3,701244,222.64000000000001,FRA-FCO,False,Sunday,,,36,18.64
701245,2025-03-24,,2025-04-06,PMO,FCO,PMO-FCO,DE1002,90.0,19.31,0.0,1,701245,109.31,PMO-FCO,False,Sunday,,,13,19.31
701246,2025-02-16,,2025-03-20,FCO,FRA,FCO-FRA,DE1003,136.0,8.39,4.71,2,701246,149.1,FCO-FRA,False,Thursday,,,32,13.100000000000001
701247,2025-02-14,,2025-03-26,FCO,PMO,FCO-PMO,DE1001,76.5,18.42,5.22,1,701247,100.14,FCO-PMO,False,Wednesday,,,40,23.64
701248,2025-04-08,,2025-04-10,FCO,PMO,FCO-PMO,DE1001,405.0,0.0,3.26,3,701248,408.26,FCO-PMO,False,Thursday,,,2,3.26
701249,2025-02-18,,2025-03-19,FRA,FCO,FRA → FCO,DE1000,68.0,0.0,7.56,1,701249,75.56,FRA-FCO,False,Wednesday,,,29,7.56
701250,2025-02-23,,2025-03-20,FRA,FCO,FRA-FCO,DE1000,68.0,9.09,0.0,1,701250,77.09,FRA-FCO,False,Thursday,,,25,9.09
701251,2025-02-03,,2025-03-03,FCO,FRA,FCO → FRA,DE1003,136.0,19.32,2.18,2,701251,157.5,FCO-FRA,False,Monday,,,28,21.5
701252,2025-02-23,,2025-04-13,FRA,FCO,FRA-FCO,DE1000,170.0,13.9,4.23,2,701252,188.13,FRA-FCO,False,Sunday,,,49,18.130000000000003
701253,2025-04-11,,2025-04-30,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,0.0,1,701253,76.5,PMO-FCO,False,Wednesday,,,19,0.0
701254,2025-03-10,,2025-04-10,FCO,PMO,FCO → PMO,DE1001,76.5,5.7,6.4,1,701254,88.60000000000001,FCO-PMO,False,Thursday,,,31,12.100000000000001
701255,2025-03-19,,2025-04-03,FCO,PMO,FCO-PMO,DE1001,76.5,14.74,4.75,1,701255,95.99,FCO-PMO,False,Thursday,,,15,19.490000000000002
701256,2025-01-25,,2025-03-07,FCO,FRA,FCO-FRA,DE1003,136.0,17.91,9.85,2,701256,163.76,FCO-FRA,False,Friday,,,41,27.759999999999998
701257,2025-03-01,,2025-04-09,FRA,FCO,FRA-FCO,DE1000,68.0,6.55,7.57,1,701257,82.12,FRA-FCO,False,Wednesday,,,39,14.120000000000001
701258,2025-02-10,,2025-04-03,FRA,FCO,FRA → FCO,DE1000,68.0,8.48,6.39,1,701258,82.87,FRA-FCO,False,Thursday,,,52,14.870000000000001
701259,2025-02-04,,2025-03-17,FCO,FRA,FCO-FRA,DE1003,136.0,0.0,2.09,2,701259,138.09,FCO-FRA,False,Monday,,,41,2.09
701260,2025-02-23,,2025-03-14,FCO,PMO,FCO → PMO,DE1001,229.5,5.37,9.09,3,701260,243.96,FCO-PMO,False,Friday,,,19,14.46
701261,2025-03-31,,2025-04-12,FCO,FRA,FCO → FRA,DE1003,80.0,8.8,0.0,1,701261,88.8,FCO-FRA,False,Saturday,,,12,8.8
701262,2025-02-27,,2025-03-27,FRA,FCO,FRA → FCO,DE1000,68.0,5.57,5.53,1,701262,79.1,FRA-FCO,False,Thursday,,,28,11.100000000000001
701263,2025-03-17,,2025-03-21,FCO,PMO,FCO-PMO,DE1001,108.0,5.76,3.11,1,701263,116.87,FCO-PMO,False,Friday,,,4,8.87
701264,2025-03-28,,2025-04-30,FCO,PMO,FCO → PMO,DE1001,76.5,0.0,0.0,1,701264,76.5,FCO-PMO,False,Wednesday,,,33,0.0
701265,2025-02-21,,2025-04-19,FCO,PMO,FCO-PMO,DE1001,95.62,0.0,5.41,1,701265,101.03,FCO-PMO,False,Saturday,,,57,5.41
701266,2025-02-26,,2025-03-21,PMO,FCO,PMO-FCO,DE1002,76.5,14.23,5.91,1,701266,96.64,PMO-FCO,False,Friday,,,23,20.14
701267,2025-03-22,,2025-03-30,FRA,FCO,FRA-FCO,DE1000,80.0,13.36,6.07,1,701267,99.43,FRA-FCO,False,Sunday,,,8,19.43
701268,2025-02-24,,2025-04-18,PMO,FCO,PMO → FCO,DE1002,191.25,0.0,4.0,2,701268,195.25,PMO-FCO,False,Friday,,,53,4.0
701269,2025-03-31,,2025-04-10,FCO,PMO,FCO-PMO,DE1001,180.0,15.67,0.0,2,701269,195.67,FCO-PMO,False,Thursday,,,10,15.67
701270,2025-02-16,,2025-03-12,PMO,FCO,PMO-FCO,DE1002,153.0,15.04,0.0,2,701270,168.04,PMO-FCO,False,Wednesday,,,24,15.04
701271,2025-02-28,,2025-04-02,FCO,FRA,FCO → FRA,DE1003,68.0,13.28,9.17,1,701271,90.45,FCO-FRA,False,Wednesday,,,33,22.45
701272,2025-02-18,,2025-03-21,FCO,PMO,FCO-PMO,DE1001,153.0,0.0,4.72,2,701272,157.72,FCO-PMO,False,Friday,,,31,4.72
701273,2025-04-04,2025-04-07,2025-04-23,PMO,FCO,PMO → FCO,DE1002,286.88,5.12,3.68,3,701273,295.68,PMO-FCO,True,Wednesday,3.0,16.0,19,8.8
701274,2025-02-18,,2025-03-27,PMO,FCO,PMO → FCO,DE1002,76.5,7.65,8.83,1,701274,92.98,PMO-FCO,False,Thursday,,,37,16.48
701275,2025-04-10,,2025-04-17,FCO,FRA,FCO-FRA,DE1003,120.0,17.01,0.0,1,701275,137.01,FCO-FRA,False,Thursday,,,7,17.01
701276,2025-03-31,,2025-04-04,FCO,FRA,FCO → FRA,DE1003,288.0,0.0,7.85,3,701276,295.85,FCO-FRA,False,Friday,,,4,7.85
701277,2025-03-02,,2025-04-03,PMO,FCO,PMO → FCO,DE1002,76.5,14.93,5.92,1,701277,97.35000000000001,PMO-FCO,False,Thursday,,,32,20.85
701278,2025-03-16,,2025-04-26,FCO,FRA,FCO → FRA,DE1003,170.0,17.88,0.0,2,701278,187.88,FCO-FRA,False,Saturday,,,41,17.88
701279,2025-04-03,,2025-04-23,PMO,FCO,PMO-FCO,DE1002,95.62,11.73,8.69,1,701279,116.04,PMO-FCO,False,Wednesday,,,20,20.42
701280,2025-03-18,2025-03-22,2025-04-16,FCO,PMO,FCO → PMO,DE1001,95.62,0.0,6.35,1,701280,101.97,FCO-PMO,True,Wednesday,4.0,25.0,29,6.35
701281,2025-03-31,,2025-04-26,FRA,FCO,FRA-FCO,DE1000,85.0,14.62,0.0,1,701281,99.62,FRA-FCO,False,Saturday,,,26,14.62
701282,2025-01-07,,2025-03-02,FCO,PMO,FCO-PMO,DE1001,153.0,15.97,6.74,2,701282,175.71,FCO-PMO,False,Sunday,,,54,22.71
701283,2025-02-27,,2025-03-05,FCO,FRA,FCO → FRA,DE1003,288.0,0.0,0.0,3,701283,288.0,FCO-FRA,False,Wednesday,,,6,0.0
701284,2025-02-04,,2025-03-05,FCO,FRA,FCO → FRA,DE1003,68.0,14.07,5.87,1,701284,87.94,FCO-FRA,False,Wednesday,,,29,19.94
701285,2025-02-06,,2025-03-23,FRA,FCO,FRA → FCO,DE1000,68.0,0.0,3.1,1,701285,71.1,FRA-FCO,False,Sunday,,,45,3.1
