bookingid_(pnr),reservation_date,cancellation_date,flight_date,origin,destination,routing,flightnumber,revenue_per_booking_(ticket),revenue_per_booking_(ancilliary_pre_check_in),revenue_per_booking_(ancilliary_at_check_in),passengercount,bookingid_norm,routing_canonical,total_revenue
703507,2025-01-30,2025-01-31,2025-03-23,PMO,FCO,PMO-FCO,DE1002,153.0,0.0,0.0,2,703507,PMO-FCO,153.0
703544,2025-03-21,2025-03-22,2025-04-25,FCO,PMO,FCO-PMO,DE1001,191.25,0.0,8.41,2,703544,FCO-PMO,199.66
703557,2025-02-22,2025-02-26,2025-04-12,PMO,FCO,PMO-FCO,DE1002,153.0,16.38,6.31,2,703557,PMO-FCO,175.69
703607,2025-03-21,2025-03-23,2025-04-12,PMO,FCO,PMO-FCO,DE1002,76.5,19.1,6.22,1,703607,PMO-FCO,101.82
703619,2025-03-06,2025-03-08,2025-03-31,PMO,FCO,PMO-FCO,DE1002,76.5,11.67,9.93,1,703619,PMO-FCO,98.1
703627,2025-03-16,2025-03-20,2025-04-11,PMO,FCO,PMO-FCO,DE1002,76.5,10.23,7.75,1,703627,PMO-FCO,94.48
703651,2025-03-10,2025-03-13,2025-04-17,FRA,FCO,FRA → FCO,DE1000,85.0,6.77,5.82,1,703651,FRA-FCO,97.59
703666,2025-03-23,2025-03-25,2025-03-28,FCO,PMO,FCO-PMO,DE1001,108.0,0.0,7.29,1,703666,FCO-PMO,115.29
703688,2025-04-06,2025-04-07,2025-04-23,FRA,FCO,FRA-FCO,DE1000,85.0,17.23,0.0,1,703688,FRA-FCO,102.23
703700,2025-03-28,2025-03-31,2025-04-03,PMO,FCO,PMO → FCO,DE1002,108.0,16.21,8.14,1,703700,PMO-FCO,132.35000000000002
703709,2025-02-15,2025-02-17,2025-04-09,PMO,FCO,PMO-FCO,DE1002,153.0,5.78,5.12,2,703709,PMO-FCO,163.9
703745,2025-02-19,2025-02-22,2025-03-12,PMO,FCO,PMO → FCO,DE1002,76.5,18.05,5.15,1,703745,PMO-FCO,99.7
703753,2025-03-27,2025-03-28,2025-03-30,FCO,PMO,FCO-PMO,DE1001,135.0,6.8,9.75,1,703753,FCO-PMO,151.55
703768,2025-03-19,2025-03-22,2025-04-05,FCO,FRA,FCO-FRA,DE1003,68.0,15.15,9.44,1,703768,FCO-FRA,92.59
703790,2025-02-02,2025-02-06,2025-03-03,FCO,FRA,FCO-FRA,DE1003,68.0,5.01,9.82,1,703790,FCO-FRA,82.83000000000001
703802,2025-01-17,2025-01-20,2025-03-13,PMO,FCO,PMO → FCO,DE1002,76.5,13.99,3.97,1,703802,PMO-FCO,94.46
703820,2025-02-22,2025-02-23,2025-04-06,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,0.0,1,703820,PMO-FCO,76.5
703828,2025-01-20,2025-01-22,2025-03-20,PMO,FCO,PMO → FCO,DE1002,76.5,18.47,0.0,1,703828,PMO-FCO,94.97
703838,2025-04-08,2025-04-09,2025-04-18,FCO,PMO,FCO-PMO,DE1001,337.5,7.7,0.0,3,703838,FCO-PMO,345.2
703852,2025-03-09,2025-03-12,2025-03-13,FRA,FCO,FRA → FCO,DE1000,288.0,5.89,5.24,3,703852,FRA-FCO,299.13
703858,2025-03-15,2025-03-18,2025-04-21,FRA,FCO,FRA → FCO,DE1000,170.0,0.0,8.49,2,703858,FRA-FCO,178.49
703859,2025-02-17,2025-02-20,2025-04-17,FCO,PMO,FCO-PMO,DE1001,191.25,13.04,7.46,2,703859,FCO-PMO,211.75
703895,2025-02-23,2025-02-26,2025-03-12,PMO,FCO,PMO-FCO,DE1002,76.5,11.41,9.4,1,703895,PMO-FCO,97.31
703896,2025-02-26,2025-02-28,2025-03-20,FCO,PMO,FCO → PMO,DE1001,76.5,15.47,4.05,1,703896,FCO-PMO,96.02
703906,2025-03-05,2025-03-07,2025-04-09,FRA,FCO,FRA-FCO,DE1000,136.0,15.01,0.0,2,703906,FRA-FCO,151.01
703910,2025-02-25,2025-03-01,2025-03-28,FCO,PMO,FCO-PMO,DE1001,153.0,0.0,3.91,2,703910,FCO-PMO,156.91
703926,2025-04-02,2025-04-05,2025-04-25,FCO,FRA,FCO → FRA,DE1003,170.0,6.76,4.15,2,703926,FCO-FRA,180.91
703938,2025-02-08,2025-02-10,2025-03-16,FCO,PMO,FCO-PMO,DE1001,153.0,19.3,0.0,2,703938,FCO-PMO,172.3
703953,2025-02-24,2025-02-25,2025-03-03,PMO,FCO,PMO → FCO,DE1002,108.0,18.3,0.0,1,703953,PMO-FCO,126.3
703955,2025-02-22,2025-02-25,2025-03-07,FCO,FRA,FCO-FRA,DE1003,160.0,19.98,3.52,2,703955,FCO-FRA,183.5
703959,2025-03-01,2025-03-04,2025-03-29,FRA,FCO,FRA → FCO,DE1000,68.0,0.0,6.61,1,703959,FRA-FCO,74.61
703980,2025-02-25,2025-02-26,2025-03-01,FCO,PMO,FCO-PMO,DE1001,108.0,19.14,9.29,1,703980,FCO-PMO,136.43
704009,2025-02-12,2025-02-14,2025-03-12,FCO,PMO,FCO-PMO,DE1001,229.5,17.81,8.81,3,704009,FCO-PMO,256.12
704037,2025-02-22,2025-02-24,2025-03-12,FCO,PMO,FCO-PMO,DE1001,229.5,0.0,8.01,3,704037,FCO-PMO,237.51
704072,2025-03-28,2025-03-30,2025-04-18,FCO,FRA,FCO → FRA,DE1003,85.0,9.13,9.48,1,704072,FCO-FRA,103.61
704074,2025-04-17,2025-04-21,2025-04-26,FCO,FRA,FCO-FRA,DE1003,200.0,13.84,5.73,2,704074,FCO-FRA,219.57
704080,2025-02-26,2025-02-27,2025-03-27,FCO,PMO,FCO-PMO,DE1001,76.5,16.92,7.13,1,704080,FCO-PMO,100.55
704121,2025-01-31,2025-02-02,2025-03-23,FCO,PMO,FCO-PMO,DE1001,229.5,5.91,6.47,3,704121,FCO-PMO,241.88
704143,2025-03-31,2025-04-02,2025-04-21,FCO,PMO,FCO-PMO,DE1001,286.88,11.76,0.0,3,704143,FCO-PMO,298.64
704162,2025-03-24,2025-03-28,2025-04-27,FCO,FRA,FCO → FRA,DE1003,255.0,17.15,7.71,3,704162,FCO-FRA,279.85999999999996
704165,2025-03-30,2025-04-03,2025-04-21,FCO,FRA,FCO-FRA,DE1003,85.0,5.03,0.0,1,704165,FCO-FRA,90.03
704184,2025-01-22,2025-01-23,2025-03-15,FRA,FCO,FRA → FCO,DE1000,68.0,8.58,7.8,1,704184,FRA-FCO,84.38
704187,2025-03-20,2025-03-21,2025-03-24,FRA,FCO,FRA → FCO,DE1000,192.0,13.02,0.0,2,704187,FRA-FCO,205.02
704195,2025-02-12,2025-02-16,2025-04-07,FCO,FRA,FCO → FRA,DE1003,136.0,18.88,8.19,2,704195,FCO-FRA,163.07
704203,2025-03-10,2025-03-12,2025-03-27,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,6.78,1,704203,PMO-FCO,83.28
704223,2025-02-22,2025-02-25,2025-03-01,FCO,PMO,FCO-PMO,DE1001,108.0,5.92,9.22,1,704223,FCO-PMO,123.14
704288,2025-03-24,2025-03-26,2025-04-20,FRA,FCO,FRA → FCO,DE1000,255.0,14.35,4.36,3,704288,FRA-FCO,273.71000000000004
704318,2025-02-22,2025-02-23,2025-04-18,FCO,PMO,FCO-PMO,DE1001,95.62,0.0,2.11,1,704318,FCO-PMO,97.73
704341,2025-02-28,2025-03-02,2025-04-20,FRA,FCO,FRA-FCO,DE1000,85.0,0.0,2.25,1,704341,FRA-FCO,87.25
704347,2025-02-27,2025-02-28,2025-04-23,FCO,PMO,FCO-PMO,DE1001,95.62,9.32,0.0,1,704347,FCO-PMO,104.94
704353,2025-03-25,2025-03-27,2025-04-17,PMO,FCO,PMO → FCO,DE1002,286.88,17.06,7.59,3,704353,PMO-FCO,311.53
704366,2025-03-06,2025-03-07,2025-04-02,FRA,FCO,FRA → FCO,DE1000,68.0,12.98,0.0,1,704366,FRA-FCO,80.98
704436,2025-02-12,2025-02-16,2025-04-09,FRA,FCO,FRA-FCO,DE1000,68.0,7.47,8.94,1,704436,FRA-FCO,84.41
704457,2025-01-19,2025-01-20,2025-03-02,FRA,FCO,FRA → FCO,DE1000,136.0,0.0,4.97,2,704457,FRA-FCO,140.97
704496,2025-01-23,2025-01-24,2025-03-23,FCO,PMO,FCO-PMO,DE1001,76.5,10.88,5.34,1,704496,FCO-PMO,92.72
704584,2025-03-19,2025-03-21,2025-03-26,PMO,FCO,PMO-FCO,DE1002,108.0,5.99,2.32,1,704584,PMO-FCO,116.30999999999999
704590,2025-03-14,2025-03-18,2025-04-10,FRA,FCO,FRA-FCO,DE1000,136.0,0.0,5.74,2,704590,FRA-FCO,141.74
704680,2025-02-08,2025-02-10,2025-03-10,FCO,PMO,FCO → PMO,DE1001,76.5,10.4,3.63,1,704680,FCO-PMO,90.53
704681,2025-02-12,2025-02-14,2025-04-11,PMO,FCO,PMO-FCO,DE1002,76.5,16.82,0.0,1,704681,PMO-FCO,93.32
704704,2025-03-01,2025-03-04,2025-03-26,FCO,PMO,FCO-PMO,DE1001,76.5,0.0,0.0,1,704704,FCO-PMO,76.5
704706,2025-03-07,2025-03-11,2025-04-28,FCO,FRA,FCO-FRA,DE1003,68.0,8.66,0.0,1,704706,FCO-FRA,76.66
704715,2025-03-03,2025-03-06,2025-04-23,FCO,PMO,FCO-PMO,DE1001,191.25,0.0,8.08,2,704715,FCO-PMO,199.33
704721,2025-04-14,2025-04-15,2025-04-26,FCO,FRA,FCO-FRA,DE1003,100.0,16.46,6.04,1,704721,FCO-FRA,122.50000000000001
704750,2025-01-11,2025-01-13,2025-03-06,PMO,FCO,PMO-FCO,DE1002,76.5,16.69,0.0,1,704750,PMO-FCO,93.19
704764,2025-01-30,2025-02-03,2025-03-10,PMO,FCO,PMO-FCO,DE1002,153.0,11.25,3.48,2,704764,PMO-FCO,167.73
704795,2025-02-28,2025-03-02,2025-04-07,PMO,FCO,PMO-FCO,DE1002,229.5,0.0,7.4,3,704795,PMO-FCO,236.9
704798,2025-01-29,2025-02-02,2025-03-29,FCO,PMO,FCO-PMO,DE1001,153.0,10.54,0.0,2,704798,FCO-PMO,163.54
704812,2025-02-07,2025-02-09,2025-04-04,FCO,FRA,FCO-FRA,DE1003,136.0,19.68,0.0,2,704812,FCO-FRA,155.68
704864,2025-02-20,2025-02-21,2025-04-12,FCO,FRA,FCO-FRA,DE1003,68.0,0.0,4.24,1,704864,FCO-FRA,72.24
704882,2025-02-13,2025-02-15,2025-04-05,FCO,PMO,FCO-PMO,DE1001,76.5,10.99,4.73,1,704882,FCO-PMO,92.22
705019,2025-01-27,2025-01-30,2025-03-26,FCO,PMO,FCO-PMO,DE1001,76.5,9.19,2.78,1,705019,FCO-PMO,88.47
705022,2025-04-03,2025-04-07,2025-04-12,PMO,FCO,PMO-FCO,DE1002,90.0,0.0,0.0,1,705022,PMO-FCO,90.0
705029,2025-02-22,2025-02-25,2025-04-16,PMO,FCO,PMO-FCO,DE1002,95.62,0.0,4.76,1,705029,PMO-FCO,100.38000000000001
705066,2025-03-18,2025-03-19,2025-04-16,FRA,FCO,FRA-FCO,DE1000,170.0,12.56,3.27,2,705066,FRA-FCO,185.83
705074,2025-01-31,2025-02-04,2025-03-06,PMO,FCO,PMO-FCO,DE1002,153.0,18.72,0.0,2,705074,PMO-FCO,171.72
705085,2025-02-11,2025-02-15,2025-04-07,FCO,PMO,FCO-PMO,DE1001,229.5,8.34,4.12,3,705085,FCO-PMO,241.96
705107,2025-02-16,2025-02-17,2025-03-10,PMO,FCO,PMO-FCO,DE1002,76.5,9.93,6.5,1,705107,PMO-FCO,92.93
705141,2025-03-30,2025-04-03,2025-04-05,FRA,FCO,FRA-FCO,DE1000,288.0,9.92,6.22,3,705141,FRA-FCO,304.14000000000004
705181,2025-01-23,2025-01-25,2025-03-19,PMO,FCO,PMO-FCO,DE1002,76.5,10.71,2.94,1,705181,PMO-FCO,90.15
705213,2025-02-20,2025-02-23,2025-03-06,PMO,FCO,PMO → FCO,DE1002,90.0,0.0,7.07,1,705213,PMO-FCO,97.07
705217,2025-04-20,2025-04-24,2025-04-26,FCO,PMO,FCO → PMO,DE1001,135.0,12.47,5.94,1,705217,FCO-PMO,153.41
705224,2025-03-21,2025-03-23,2025-04-04,PMO,FCO,PMO-FCO,DE1002,90.0,0.0,0.0,1,705224,PMO-FCO,90.0
705231,2025-03-26,2025-03-28,2025-04-06,FRA,FCO,FRA-FCO,DE1000,80.0,17.72,8.64,1,705231,FRA-FCO,106.36
705252,2025-03-03,2025-03-05,2025-04-25,FCO,FRA,FCO-FRA,DE1003,170.0,0.0,8.47,2,705252,FCO-FRA,178.47
705286,2025-02-23,2025-02-27,2025-03-30,FRA,FCO,FRA-FCO,DE1000,68.0,19.14,0.0,1,705286,FRA-FCO,87.14
705294,2025-02-19,2025-02-23,2025-03-12,FRA,FCO,FRA-FCO,DE1000,136.0,14.66,6.33,2,705294,FRA-FCO,156.99
705314,2025-03-15,2025-03-19,2025-04-18,FCO,FRA,FCO → FRA,DE1003,255.0,12.21,7.24,3,705314,FCO-FRA,274.45
705326,2025-03-18,2025-03-19,2025-04-03,FCO,PMO,FCO → PMO,DE1001,76.5,10.62,0.0,1,705326,FCO-PMO,87.12
705329,2025-02-16,2025-02-19,2025-04-13,FCO,PMO,FCO-PMO,DE1001,191.25,14.57,0.0,2,705329,FCO-PMO,205.82
705343,2025-02-16,2025-02-20,2025-03-30,PMO,FCO,PMO-FCO,DE1002,76.5,9.92,9.62,1,705343,PMO-FCO,96.04
705368,2025-04-04,2025-04-08,2025-04-26,PMO,FCO,PMO → FCO,DE1002,95.62,15.51,5.36,1,705368,PMO-FCO,116.49000000000001
705377,2025-03-03,2025-03-06,2025-03-13,FCO,FRA,FCO-FRA,DE1003,80.0,6.27,6.28,1,705377,FCO-FRA,92.55
705384,2025-01-12,2025-01-13,2025-03-12,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,9.13,1,705384,PMO-FCO,85.63
705387,2025-02-19,2025-02-20,2025-03-02,FCO,FRA,FCO → FRA,DE1003,80.0,7.94,6.72,1,705387,FCO-FRA,94.66
705397,2025-03-16,2025-03-18,2025-03-24,FRA,FCO,FRA-FCO,DE1000,80.0,9.88,3.46,1,705397,FRA-FCO,93.33999999999999
705409,2025-03-08,2025-03-11,2025-04-20,FCO,FRA,FCO → FRA,DE1003,85.0,13.75,6.86,1,705409,FCO-FRA,105.61
705426,2025-03-11,2025-03-12,2025-03-19,FCO,FRA,FCO-FRA,DE1003,160.0,5.68,8.06,2,705426,FCO-FRA,173.74
705469,2025-02-15,2025-02-19,2025-04-02,PMO,FCO,PMO-FCO,DE1002,229.5,0.0,6.67,3,705469,PMO-FCO,236.17
705481,2025-01-21,2025-01-25,2025-03-02,FRA,FCO,FRA-FCO,DE1000,68.0,0.0,0.0,1,705481,FRA-FCO,68.0
705501,2025-02-13,2025-02-17,2025-04-11,PMO,FCO,PMO-FCO,DE1002,76.5,19.73,0.0,1,705501,PMO-FCO,96.23
705516,2025-02-04,2025-02-05,2025-03-29,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,2.67,1,705516,PMO-FCO,79.17
705564,2025-03-15,2025-03-18,2025-04-21,FRA,FCO,FRA-FCO,DE1000,170.0,11.5,0.0,2,705564,FRA-FCO,181.5
705577,2025-02-08,2025-02-11,2025-03-22,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,0.0,1,705577,PMO-FCO,76.5
705591,2025-04-01,2025-04-02,2025-04-27,FRA,FCO,FRA-FCO,DE1000,170.0,13.38,8.32,2,705591,FRA-FCO,191.7
705631,2025-02-03,2025-02-04,2025-03-01,FCO,FRA,FCO-FRA,DE1003,68.0,0.0,6.59,1,705631,FCO-FRA,74.59
705656,2025-02-20,2025-02-24,2025-03-23,PMO,FCO,PMO-FCO,DE1002,229.5,19.49,6.14,3,705656,PMO-FCO,255.13
705669,2025-02-21,2025-02-24,2025-04-19,FCO,FRA,FCO-FRA,DE1003,85.0,0.0,4.16,1,705669,FCO-FRA,89.16
705697,2025-03-03,2025-03-07,2025-03-06,PMO,FCO,PMO-FCO,DE1002,135.0,8.6,0.0,1,705697,PMO-FCO,143.6
705704,2025-03-02,2025-03-05,2025-04-25,PMO,FCO,PMO-FCO,DE1002,286.88,15.22,0.0,3,705704,PMO-FCO,302.1
705757,2025-03-23,2025-03-25,2025-04-30,FCO,FRA,FCO-FRA,DE1003,136.0,0.0,9.35,2,705757,FCO-FRA,145.35
705775,2025-02-15,2025-02-16,2025-03-26,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,7.21,1,705775,PMO-FCO,83.71
705784,2025-02-21,2025-02-25,2025-03-10,FCO,FRA,FCO-FRA,DE1003,68.0,12.69,6.66,1,705784,FCO-FRA,87.35
705825,2025-02-20,2025-02-24,2025-03-22,FCO,PMO,FCO → PMO,DE1001,76.5,13.52,0.0,1,705825,FCO-PMO,90.02
705863,2025-03-11,2025-03-15,2025-04-11,PMO,FCO,PMO-FCO,DE1002,153.0,0.0,9.64,2,705863,PMO-FCO,162.64
705885,2025-02-18,2025-02-22,2025-04-12,FRA,FCO,FRA → FCO,DE1000,136.0,6.63,8.48,2,705885,FRA-FCO,151.10999999999999
705894,2025-03-03,2025-03-07,2025-03-20,FCO,PMO,FCO-PMO,DE1001,76.5,9.6,9.24,1,705894,FCO-PMO,95.33999999999999
705934,2025-04-10,2025-04-12,2025-04-18,FCO,FRA,FCO-FRA,DE1003,300.0,0.0,9.39,3,705934,FCO-FRA,309.39
705971,2025-01-25,2025-01-27,2025-03-05,FCO,PMO,FCO-PMO,DE1001,76.5,0.0,4.94,1,705971,FCO-PMO,81.44
705976,2025-02-08,2025-02-12,2025-03-23,FCO,PMO,FCO-PMO,DE1001,153.0,10.9,0.0,2,705976,FCO-PMO,163.9
706003,2025-03-03,2025-03-06,2025-03-27,FCO,FRA,FCO-FRA,DE1003,68.0,17.39,8.87,1,706003,FCO-FRA,94.26
706015,2025-01-13,2025-01-16,2025-03-01,FCO,PMO,FCO → PMO,DE1001,153.0,9.8,3.37,2,706015,FCO-PMO,166.17000000000002
706023,2025-03-13,2025-03-15,2025-04-04,FCO,FRA,FCO-FRA,DE1003,68.0,17.8,4.49,1,706023,FCO-FRA,90.28999999999999
706026,2025-02-17,2025-02-20,2025-03-23,FCO,PMO,FCO-PMO,DE1001,229.5,0.0,0.0,3,706026,FCO-PMO,229.5
706032,2025-01-20,2025-01-24,2025-03-10,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,7.79,1,706032,PMO-FCO,84.29
706049,2025-02-28,2025-03-04,2025-04-07,FCO,FRA,FCO-FRA,DE1003,136.0,0.0,3.27,2,706049,FCO-FRA,139.27
706077,2025-01-26,2025-01-29,2025-03-01,FRA,FCO,FRA-FCO,DE1000,68.0,13.05,0.0,1,706077,FRA-FCO,81.05
706107,2025-02-12,2025-02-16,2025-03-26,PMO,FCO,PMO → FCO,DE1002,153.0,19.04,0.0,2,706107,PMO-FCO,172.04
706142,2025-03-20,2025-03-24,2025-03-30,FCO,PMO,FCO-PMO,DE1001,90.0,9.24,5.57,1,706142,FCO-PMO,104.81
706144,2025-01-12,2025-01-14,2025-03-12,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,4.63,1,706144,PMO-FCO,81.13
706171,2025-03-09,2025-03-10,2025-04-05,FCO,PMO,FCO-PMO,DE1001,76.5,0.0,0.0,1,706171,FCO-PMO,76.5
706216,2025-03-03,2025-03-04,2025-04-02,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,7.79,1,706216,PMO-FCO,84.29
706245,2025-02-21,2025-02-24,2025-04-18,FCO,PMO,FCO → PMO,DE1001,286.88,5.94,5.52,3,706245,FCO-PMO,298.34
706271,2025-03-08,2025-03-09,2025-03-19,PMO,FCO,PMO-FCO,DE1002,180.0,17.73,8.69,2,706271,PMO-FCO,206.42
706303,2025-03-16,2025-03-17,2025-03-19,FCO,PMO,FCO → PMO,DE1001,135.0,8.54,6.24,1,706303,FCO-PMO,149.78
706350,2025-03-19,2025-03-23,2025-03-21,FCO,FRA,FCO → FRA,DE1003,240.0,6.59,0.0,2,706350,FCO-FRA,246.59
706375,2025-02-25,2025-03-01,2025-04-06,FRA,FCO,FRA-FCO,DE1000,136.0,6.7,7.24,2,706375,FRA-FCO,149.94
706381,2025-03-04,2025-03-07,2025-04-05,FRA,FCO,FRA → FCO,DE1000,68.0,16.41,3.69,1,706381,FRA-FCO,88.1
706400,2025-02-24,2025-02-28,2025-03-14,FCO,FRA,FCO → FRA,DE1003,136.0,0.0,5.37,2,706400,FCO-FRA,141.37
706406,2025-02-07,2025-02-11,2025-03-24,FCO,FRA,FCO-FRA,DE1003,68.0,7.42,9.29,1,706406,FCO-FRA,84.71000000000001
706420,2025-02-24,2025-02-28,2025-03-08,FCO,FRA,FCO → FRA,DE1003,80.0,14.78,7.59,1,706420,FCO-FRA,102.37
706497,2025-03-06,2025-03-10,2025-03-24,FRA,FCO,FRA-FCO,DE1000,68.0,0.0,0.0,1,706497,FRA-FCO,68.0
706503,2025-02-08,2025-02-10,2025-03-27,FRA,FCO,FRA-FCO,DE1000,68.0,7.06,2.74,1,706503,FRA-FCO,77.8
706540,2025-03-21,2025-03-23,2025-03-26,FCO,PMO,FCO → PMO,DE1001,108.0,5.93,3.15,1,706540,FCO-PMO,117.08000000000001
706611,2025-03-19,2025-03-20,2025-03-23,PMO,FCO,PMO-FCO,DE1002,108.0,8.93,0.0,1,706611,PMO-FCO,116.93
706612,2025-02-20,2025-02-22,2025-03-27,FCO,FRA,FCO → FRA,DE1003,136.0,6.95,4.15,2,706612,FCO-FRA,147.1
706622,2025-03-18,2025-03-20,2025-04-04,PMO,FCO,PMO → FCO,DE1002,229.5,15.05,8.18,3,706622,PMO-FCO,252.73000000000002
706626,2025-03-17,2025-03-20,2025-04-09,FCO,PMO,FCO-PMO,DE1001,76.5,0.0,3.65,1,706626,FCO-PMO,80.15
706637,2025-03-04,2025-03-07,2025-03-30,FCO,PMO,FCO → PMO,DE1001,76.5,0.0,4.01,1,706637,FCO-PMO,80.51
706642,2025-01-27,2025-01-29,2025-03-19,PMO,FCO,PMO → FCO,DE1002,76.5,17.57,6.68,1,706642,PMO-FCO,100.75
706651,2025-02-16,2025-02-18,2025-03-31,FCO,PMO,FCO-PMO,DE1001,153.0,0.0,0.0,2,706651,FCO-PMO,153.0
706657,2025-02-23,2025-02-25,2025-03-07,FRA,FCO,FRA-FCO,DE1000,160.0,13.94,9.45,2,706657,FRA-FCO,183.39
706664,2025-02-21,2025-02-24,2025-04-09,FCO,FRA,FCO-FRA,DE1003,68.0,15.68,6.74,1,706664,FCO-FRA,90.42
706670,2025-02-22,2025-02-25,2025-03-23,PMO,FCO,PMO-FCO,DE1002,76.5,11.93,0.0,1,706670,PMO-FCO,88.43
706684,2025-02-08,2025-02-11,2025-03-15,FRA,FCO,FRA → FCO,DE1000,68.0,13.25,7.83,1,706684,FRA-FCO,89.08
706689,2025-01-31,2025-02-04,2025-03-27,FRA,FCO,FRA-FCO,DE1000,68.0,17.3,4.87,1,706689,FRA-FCO,90.17
706700,2025-01-19,2025-01-21,2025-03-16,FCO,PMO,FCO-PMO,DE1001,76.5,12.32,7.28,1,706700,FCO-PMO,96.1
706703,2025-03-11,2025-03-13,2025-04-06,FRA,FCO,FRA → FCO,DE1000,68.0,6.35,8.69,1,706703,FRA-FCO,83.03999999999999
706716,2025-02-24,2025-02-27,2025-03-02,PMO,FCO,PMO → FCO,DE1002,216.0,11.45,5.69,2,706716,PMO-FCO,233.14
706728,2025-01-27,2025-01-28,2025-03-22,PMO,FCO,PMO → FCO,DE1002,76.5,0.0,0.0,1,706728,PMO-FCO,76.5
706754,2025-02-05,2025-02-06,2025-03-03,FCO,PMO,FCO-PMO,DE1001,153.0,14.01,4.99,2,706754,FCO-PMO,172.0
706800,2025-02-19,2025-02-21,2025-03-28,FCO,PMO,FCO-PMO,DE1001,153.0,9.72,2.19,2,706800,FCO-PMO,164.91
706829,2025-01-22,2025-01-23,2025-03-05,FCO,PMO,FCO-PMO,DE1001,153.0,10.17,2.89,2,706829,FCO-PMO,166.05999999999997
706831,2025-02-28,2025-03-02,2025-03-17,PMO,FCO,PMO-FCO,DE1002,76.5,7.22,4.69,1,706831,PMO-FCO,88.41
706852,2025-03-16,2025-03-18,2025-03-17,FCO,FRA,FCO-FRA,DE1003,240.0,0.0,9.78,2,706852,FCO-FRA,249.78
706892,2025-04-10,2025-04-12,2025-04-25,PMO,FCO,PMO-FCO,DE1002,95.62,14.78,2.79,1,706892,PMO-FCO,113.19000000000001
706895,2025-03-19,2025-03-20,2025-04-12,FCO,FRA,FCO-FRA,DE1003,136.0,10.86,0.0,2,706895,FCO-FRA,146.86
706913,2025-02-09,2025-02-10,2025-03-29,FRA,FCO,FRA → FCO,DE1000,136.0,6.38,4.81,2,706913,FRA-FCO,147.19
706919,2025-02-16,2025-02-19,2025-04-04,FCO,FRA,FCO-FRA,DE1003,136.0,19.27,2.71,2,706919,FCO-FRA,157.98000000000002
706936,2025-01-06,2025-01-08,2025-03-03,PMO,FCO,PMO → FCO,DE1002,153.0,13.3,3.4,2,706936,PMO-FCO,169.70000000000002
706937,2025-02-07,2025-02-09,2025-03-19,PMO,FCO,PMO-FCO,DE1002,76.5,18.46,2.18,1,706937,PMO-FCO,97.14000000000001
706965,2025-04-15,2025-04-16,2025-04-21,FCO,FRA,FCO-FRA,DE1003,120.0,7.47,4.08,1,706965,FCO-FRA,131.55
707013,2025-01-17,2025-01-20,2025-03-14,FRA,FCO,FRA → FCO,DE1000,136.0,15.56,2.85,2,707013,FRA-FCO,154.41
707033,2025-03-02,2025-03-03,2025-04-10,PMO,FCO,PMO → FCO,DE1002,76.5,0.0,2.95,1,707033,PMO-FCO,79.45
707084,2025-01-28,2025-01-29,2025-03-14,PMO,FCO,PMO → FCO,DE1002,76.5,8.61,4.16,1,707084,PMO-FCO,89.27
707118,2025-02-09,2025-02-11,2025-03-23,FCO,PMO,FCO-PMO,DE1001,76.5,18.76,2.67,1,707118,FCO-PMO,97.93
707124,2025-02-11,2025-02-15,2025-03-26,FCO,PMO,FCO-PMO,DE1001,153.0,0.0,0.0,2,707124,FCO-PMO,153.0
707128,2025-02-28,2025-03-03,2025-04-26,FCO,PMO,FCO-PMO,DE1001,286.88,0.0,0.0,3,707128,FCO-PMO,286.88
707130,2025-04-04,2025-04-06,2025-04-28,FCO,FRA,FCO-FRA,DE1003,68.0,15.47,2.15,1,707130,FCO-FRA,85.62
707158,2025-02-23,2025-02-27,2025-04-12,FCO,FRA,FCO-FRA,DE1003,204.0,12.66,7.35,3,707158,FCO-FRA,224.01
707159,2025-02-11,2025-02-12,2025-03-21,FCO,PMO,FCO-PMO,DE1001,153.0,6.49,2.95,2,707159,FCO-PMO,162.44
707179,2025-01-25,2025-01-27,2025-03-23,FCO,FRA,FCO-FRA,DE1003,68.0,14.66,0.0,1,707179,FCO-FRA,82.66
707197,2025-04-07,2025-04-09,2025-04-19,PMO,FCO,PMO-FCO,DE1002,225.0,6.81,7.26,2,707197,PMO-FCO,239.07
707202,2025-03-27,2025-03-31,2025-03-31,PMO,FCO,PMO-FCO,DE1002,108.0,0.0,0.0,1,707202,PMO-FCO,108.0
707206,2025-04-16,2025-04-17,2025-04-26,PMO,FCO,PMO-FCO,DE1002,337.5,14.93,3.88,3,707206,PMO-FCO,356.31
707209,2025-02-13,2025-02-17,2025-04-04,FCO,PMO,FCO-PMO,DE1001,76.5,0.0,4.45,1,707209,FCO-PMO,80.95
707224,2025-03-29,2025-04-02,2025-04-02,FRA,FCO,FRA-FCO,DE1000,96.0,0.0,0.0,1,707224,FRA-FCO,96.0
